순위,관광지명,주소,분류,외지인 검색 수
1,코엑스,서울 강남구 영동대로 513-0,전시시설,570042
2,인터컨티넨탈호텔서울코엑스,서울 강남구 봉은사로 524-0,호텔,104867
3,임피리얼팰리스서울,서울 강남구 언주로 640-0,호텔,84505
4,SETEC,서울 강남구 남부순환로 3104-0,전시시설,82059
5,그랜드인터컨티넨탈호텔서울파르나스,서울 강남구 테헤란로 521-0,호텔,82053
6,르메르디앙호텔서울 (폐업),서울 강남구 봉은사로 120-0,호텔,77163
7,신사동가로수길,서울 강남구,테마공원,69237
8,리베라호텔서울,서울 강남구 영동대로 737-0,호텔,65493
9,프리마호텔,서울 강남구 도산대로 536-0,호텔,64840
10,노보텔앰배서더호텔서울강남,서울 강남구 봉은사로 130-0,호텔,58494
11,오크우드프리미어코엑스센터,서울 강남구 테헤란로87길 46-0,호텔,56878
12,아쿠아리움코엑스몰점,서울 강남구 영동대로 513-0,테마공원,56121
13,호텔삼정,서울 강남구 봉은사로 150-0,호텔,53744
14,라마다호텔서울,서울 강남구 봉은사로 410-0,호텔,50153
15,신라스테이역삼,서울 강남구 언주로 517-0,호텔,49946
16,봉은사,서울 강남구 봉은사로 531-0,종교성지,46897
17,엘리에나호텔,서울 강남구 논현로 645-0,호텔,42207
18,CGV강남,서울 강남구 강남대로 438-0,공연시설,34857
19,CGV청담씨네시티,서울 강남구 도산대로 323-0,공연시설,34119
20,메가박스코엑스,서울 강남구 봉은사로 524-0,공연시설,32676
21,LG아트센터,서울 강남구 논현로 508-0,공연시설,26640
22,CGV압구정본관,서울 강남구 논현로 848-0,공연시설,25717
23,롯데호텔L7강남,서울 강남구 테헤란로 415-0,호텔,24643
24,파크하얏트서울호텔,서울 강남구 테헤란로 606-0,호텔,23414
25,안다즈서울강남,서울 강남구 논현로 854-0,호텔,21032
26,도산공원,서울 강남구 도산대로45길 20-0,도시공원,20532
27,광림아트센터BBCH홀,서울 강남구 논현로163길 33-0,공연시설,18897
28,더라움,서울 강남구 언주로 564-0,전시시설,18132
29,글래드라이브강남,서울 강남구 봉은사로 223-0,호텔,18069
30,이비스스타일앰배서더서울강남,서울 강남구 삼성로 431-0,호텔,17658
31,압구정로데오거리,서울 강남구,테마공원,16743
32,글래드강남코엑스센터,서울 강남구 테헤란로 610-0,호텔,15580
33,세븐럭코엑스센터점,서울 강남구 테헤란로87길 58-0,기타문화관광지,15025
34,KT&G상상마당대치아트홀,서울 강남구 영동대로 416-0,공연시설,14956
35,AC호텔바이메리어트서울강남 건축중(2022년03월오픈예정),서울 강남구 테헤란로25길 10-0,호텔,14845
36,스타필드코엑스몰,서울 강남구 영동대로 513-0,쇼핑몰,13697
37,포포인츠바이쉐라톤서울강남,서울 강남구 도산대로 203-0,호텔,13696
38,금강쇼핑센터,서울 강남구 압구정로 201-0,쇼핑몰,13231
39,자이언트호텔,서울 강남구 봉은사로 459-0,호텔,13135
40,선정릉,서울 강남구 선릉로100길 1-0,역사유적지,11950
41,호텔선샤인,서울 강남구 도산대로 205-0,호텔,11653
42,라움아트센터,서울 강남구 언주로 564-0,전시시설,11627
43,능인선원포이동법당,서울 강남구 양재대로 340-0,종교성지,11252
44,알로프트호텔서울강남,서울 강남구 영동대로 736-0,호텔,11229
45,도미인서울강남호텔,서울 강남구 봉은사로 134-0,호텔,10828
46,베스트웨스턴프리미어강남호텔,서울 강남구 봉은사로 139-0,호텔,10525
47,역삼아르누보호텔,서울 강남구 언주로 506-0,호텔,10457
48,호텔뉴브,서울 강남구 선릉로85길 6-0,호텔,9762
49,백암아트홀,서울 강남구 테헤란로113길 7-0,공연시설,9672
50,윤당아트홀,서울 강남구 언주로 844-0,공연시설,9635
51,메가박스강남대로,서울 강남구 강남대로 422-0,공연시설,9016
52,에이든청담호텔바이베스트웨스턴,서울 강남구 도산대로 216-0,호텔,8685
53,호텔카푸치노,서울 강남구 봉은사로 155-0,호텔,8193
54,현대백화점면세점무역센터점,서울 강남구 테헤란로 517-0,면세점,8085
55,코엑스오디토리움,서울 강남구 영동대로 513-0,공연시설,8071
56,티몬,서울 강남구 테헤란로114길 38-0,기타쇼핑시설,8009
