순위,관광지명,주소,분류,외지인 검색 수
1,코엑스,서울 강남구 영동대로 513-0,전시시설,570042
2,김포국제공항,서울 강서구 하늘길 112-0,교통시설,557109
3,김포국제공항국내선,서울 강서구 하늘길 111-0,교통시설,509869
4,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑몰,393294
5,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑몰,327154
6,가락동농수산물도매시장,서울 송파구 양재대로 932-0,시장,306766
7,노량진수산시장,서울 동작구 노들로 674-0,시장,305080
8,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑몰,299876
9,롯데월드잠실점,서울 송파구 올림픽로 240-0,테마공원,281617
10,여의도한강공원,서울 영등포구 여의동로 330-0,도시공원,246901
11,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑몰,219442
12,그랜드워커힐서울,서울 광진구 워커힐로 177-0,호텔,207633
13,CGV용산아이파크몰,서울 용산구 한강대로21나길 17-0,공연시설,200976
14,어린이대공원,서울 광진구 능동로 216-0,테마공원,199204
15,김포국제공항국제선,서울 강서구 하늘길 38-0,교통시설,189915
16,신라호텔서울,서울 중구 동호로 249-0,호텔,175564
17,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑몰,170690
18,그랜드하얏트서울,서울 용산구 소월로 322-0,호텔,166508
19,올림픽공원,서울 송파구 올림픽로 424-0,도시공원,164164
20,더케이호텔서울,서울 서초구 바우뫼로12길 70-0,호텔,157080
21,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑몰,156758
22,동대문종합시장,서울 종로구 종로 266-0,시장,150782
23,예술의전당,서울 서초구 남부순환로 2406-0,공연시설,144759
24,서울식물원,서울 강서구 마곡동로 161-0,테마공원,136042
25,두산타워,서울 중구 장충단로 275-0,쇼핑몰,134544
26,국립중앙박물관,서울 용산구 서빙고로 137-0,전시시설,133323
27,서울숲,서울 성동구 뚝섬로 273-0,도시공원,131980
28,남산서울타워,서울 용산구 남산공원길 105-0,랜드마크관광,130164
29,롯데호텔서울점,서울 중구 을지로 30-0,호텔,126064
30,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑몰,123718
31,강서농산물도매시장,서울 강서구 발산로 40-0,시장,123509
32,반포한강공원,서울 서초구 신반포로11길 40-0,도시공원,117683
33,마리오아울렛1관,서울 금천구 디지털로 185-0,쇼핑몰,115209
34,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑몰,111054
35,광장시장,서울 종로구 창경궁로 88-0,시장,106718
36,콘래드서울호텔,서울 영등포구 국제금융로 10-0,호텔,106129
37,밀레니엄서울힐튼호텔,서울 중구 소월로 50-0,호텔,105505
38,인터컨티넨탈호텔서울코엑스,서울 강남구 봉은사로 524-0,호텔,104867
39,더리버사이드호텔,서울 서초구 강남대로107길 6-0,호텔,104858
40,W몰,서울 금천구 디지털로 188-0,쇼핑몰,103964
41,스위스그랜드호텔,서울 서대문구 연희로 353-0,호텔,101582
42,하늘공원,서울 마포구 하늘공원로 95-0,도시공원,98029
43,웨스틴조선호텔,서울 중구 소공로 106-0,호텔,96004
44,밀리오레동대문점,서울 중구 장충단로 263-0,쇼핑몰,95186
45,잠실야구장,서울 송파구 올림픽로 25-0,레저스포츠시설,93981
46,포시즌스호텔서울,서울 종로구 새문안로 97-0,호텔,84801
47,임피리얼팰리스서울,서울 강남구 언주로 640-0,호텔,84505
48,서울월드컵경기장,서울 마포구 월드컵로 240-0,레저스포츠시설,83518
49,SETEC,서울 강남구 남부순환로 3104-0,전시시설,82059
50,그랜드인터컨티넨탈호텔서울파르나스,서울 강남구 테헤란로 521-0,호텔,82053
51,더플라자호텔,서울 중구 소공로 119-0,호텔,81862
52,쉐라톤서울팔래스강남호텔 (폐업),서울 서초구 사평대로 160-0,호텔,80469
53,현대시티몰가든파이브점,서울 송파구 충민로 66-0,쇼핑몰,80446
54,마리오아울렛3관,서울 금천구 벚꽃로 266-0,쇼핑몰,79501
55,JW메리어트호텔서울,서울 서초구 신반포로 176-0,호텔,77558
56,르메르디앙호텔서울 (폐업),서울 강남구 봉은사로 120-0,호텔,77163
57,고척스카이돔,서울 구로구 경인로 430-0,레저스포츠시설,76751
58,전쟁기념관,서울 용산구 이태원로 29-0,전시시설,76433
59,방산종합시장,서울 중구 동호로37길 20-0,시장,75679
60,서울드래곤시티,서울 용산구 청파로20길 95-0,호텔,72724
61,북서울꿈의숲,서울 강북구 월계로 173-0,도시공원,72085
62,신사동가로수길,서울 강남구,테마공원,69237
63,가락수산시장,서울 송파구 양재대로 932-0,시장,68957
64,경복궁,서울 종로구 사직로 161-0,역사유적지,68736
