순위,관광지명,주소,분류,외지인 검색 수
1,가락동농수산물도매시장,서울 송파구 양재대로 932-0,시장,306766
2,롯데월드잠실점,서울 송파구 올림픽로 240-0,테마공원,281617
3,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑몰,219442
4,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑몰,170690
5,올림픽공원,서울 송파구 올림픽로 424-0,도시공원,164164
6,잠실야구장,서울 송파구 올림픽로 25-0,레저스포츠시설,93981
7,현대시티몰가든파이브점,서울 송파구 충민로 66-0,쇼핑몰,80446
8,가락수산시장,서울 송파구 양재대로 932-0,시장,68957
9,가든파이브웍스,서울 송파구 충민로 52-0,쇼핑몰,65400
10,롯데월드아쿠아리움,서울 송파구 올림픽로 300-0,테마공원,61325
11,롯데호텔월드,서울 송파구 올림픽로 240-0,호텔,58313
12,잠실한강공원,서울 송파구 한가람로 65-0,도시공원,52716
13,가든파이브툴,서울 송파구 충민로 10-0,쇼핑몰,51108
14,가락몰,서울 송파구 양재대로 932-0,시장,45279
15,키자니아서울점,서울 송파구 올림픽로 240-0,테마공원,43381
16,시그니엘서울,서울 송파구 올림픽로 300-0,호텔,43317
17,롯데면세점월드타워점,서울 송파구 올림픽로 300-0,면세점,41248
18,롯데시네마월드타워,서울 송파구 올림픽로 300-0,공연시설,39859
19,CGV송파,서울 송파구 충민로 66-0,공연시설,37572
20,샤롯데씨어터,서울 송파구 올림픽로 240-0,공연시설,37281
21,호텔파크하비오,서울 송파구 송파대로 111-0,호텔,37113
22,문정동로데오거리,서울 송파구,기타쇼핑시설,30667
23,레이크호텔,서울 송파구 석촌호수로 216-0,호텔,30090
24,메가박스송파파크하비오,서울 송파구 송파대로 111-0,공연시설,28512
25,서울올림픽파크텔,서울 송파구 올림픽로 448-0,호텔,28306
26,파크하비오워터킹덤,서울 송파구 송파대로 111-0,테마공원,27417
27,롯데콘서트홀,서울 송파구 올림픽로 300-0,공연시설,26654
28,잠실자동차극장,서울 송파구,공연시설,26439
29,올림픽홀,서울 송파구 올림픽로 424-0,공연시설,24059
30,방이시장,서울 송파구 백제고분로48길 35-0,시장,23618
31,우리금융아트홀,서울 송파구 올림픽로 424-0,공연시설,22527
32,가락관광호텔,서울 송파구 송파대로28길 5-0,호텔,19654
33,서울스카이,서울 송파구 올림픽로 300-0,랜드마크관광,18235
34,엄마손쇼핑센터,서울 송파구 가락로 103-0,쇼핑몰,18196
35,석촌호수동호,서울 송파구 잠실로 148-0,자연경관(하천/해양),16263
36,석촌호수서호,서울 송파구 석촌호수로 197-0,자연경관(하천/해양),15918
37,롯데월드어드벤쳐,서울 송파구 올림픽로 240-0,테마공원,14310
38,한성백제박물관,서울 송파구 위례성대로 71-0,전시시설,13659
39,뽀로로파크잠실롯데월드점,서울 송파구 올림픽로 240-0,테마공원,13239
40,캘리포니아관광호텔,서울 송파구 송파대로28길 11-0,호텔,11187
41,송파나루공원동호,서울 송파구 잠실로 148-0,도시공원,10741
42,마천중앙시장,서울 송파구 마천로45길 23-0,시장,10653
43,송파책박물관,서울 송파구 송파대로37길 77-0,전시시설,9916
44,잠실관광호텔,서울 송파구 삼전로 67-0,호텔,9599
45,올림픽프라자,서울 송파구 양재대로 1222-0,쇼핑몰,9427
46,소마미술관,서울 송파구 위례성대로 51-0,전시시설,8609
47,롯데월드아이스링크,서울 송파구 올림픽로 240-0,육상레저스포츠,8603
48,로사나부띠끄호텔,서울 송파구 삼학사로 98-0,호텔,8275
49,새마을시장,서울 송파구 석촌호수로12길 7-0,시장,8263
50,이랜드크루즈잠실선착장,서울 송파구 백제고분로 2-0,교통시설,8194
51,송파나루공원서호,서울 송파구 석촌호수로 197-0,도시공원,7799
52,불광사,서울 송파구 백제고분로39길 35-0,종교성지,7283
53,래미안갤러리,서울 송파구 충민로 17-0,전시시설,7139
54,서울책보고,서울 송파구 오금로 1-0,기타문화관광지,6891
55,성내유수지축구장,서울 송파구,레저스포츠시설,6421
56,송리단길,서울 송파구,테마공원,5804
57,다이소위례본점,서울 송파구 위례광장로 136-0,기타쇼핑시설,5779
58,서울놀이마당,서울 송파구 삼학사로 136-0,공연시설,5663
59,한강시민공원잠실지구수영장개장예정(2023년06월),서울 송파구 한가람로 65-0,테마공원,5494
60,포레스타호텔,서울 송파구 백제고분로7길 23-6,호텔,5032
61,천마풋살파크,서울 송파구 성내천로29길 31-0,레저스포츠시설,4935
62,서울청과,서울 송파구 양재대로 932-0,시장,4812
63,K-아트홀,서울 송파구 올림픽로 424-0,공연시설,4787
64,올림픽공원세계평화의문,서울 송파구,도시공원,4530
65,올림픽공원9경스탬프투어,서울 송파구 올림픽로 424-0,기타문화관광지,4425
66,송파여성축구장,서울 송파구 올림픽로 474-0,레저스포츠시설,4289
67,한국청과,서울 송파구 양재대로 932-0,시장,4248
68,잠실유람선터미널,서울 송파구 올림픽로 99-0,교통시설,4120
69,잠실어울림축구장,서울 송파구 탄천동로 211-0,레저스포츠시설,3891
70,딜라이트호텔,서울 송파구 오금로11길 21-9,모텔,3687
71,마천청소년수련관,서울 송파구 성내천로 319-0,육상레저스포츠,3618
72,올림픽공원88잔디마당,서울 송파구 올림픽로 424-0,기타문화관광지,3416
73,다이소송파파크하비오점,서울 송파구 송파대로 111-0,기타쇼핑시설,3331
74,중앙청과,서울 송파구 양재대로 932-0,시장,3182
75,파로스관광호텔,서울 송파구 올림픽로10길 5-0,호텔,3177
76,천마공원축구장,서울 송파구,레저스포츠시설,3036
77,롯데월드매직아일랜드,서울 송파구 올림픽로 240-0,테마공원,3035
78,코너호텔,서울 송파구 송파대로 385-0,모텔,2991
79,평화의광장올림픽공원,서울 송파구 올림픽로 424-0,도시공원,2937
80,코코몽키즈랜드송파점,서울 송파구 충민로 66-0,테마공원,2819
81,HOTEL2.4,서울 송파구 오금로11길 55-16,호텔,2809
82,오금공원,서울 송파구 오금로 363-0,도시공원,2775
83,굿윌스토어밀알송파점,서울 송파구 마천로 226-0,기타쇼핑시설,2734
84,한국체육대학교실내빙상장,서울 송파구 양재대로 1239-0,육상레저스포츠,2720
85,잠실유수지공원,서울 송파구,도시공원,2633
86,롯데월드쇼핑몰,서울 송파구 올림픽로 240-0,쇼핑몰,2534
87,풍납전통시장,서울 송파구 바람드리길 50-0,시장,2531
88,톰지호텔,서울 송파구 오금로11길 21-12,호텔,2505
89,롯데월드민속박물관,서울 송파구 올림픽로 240-0,전시시설,2504
90,서울방이동고분군,서울 송파구 오금로 219-0,역사유적지,2469
91,롯데뮤지엄,서울 송파구 올림픽로 300-0,전시시설,2392
92,호텔첼로,서울 송파구 오금로11길 23-19,모텔,2368
93,올림픽공원들꽃마루,서울 송파구 올림픽로 424-0,도시공원,2335
94,석촌호수벚꽃축제,서울 송파구,기타문화관광지,2185
